253.09	2.4616	92356	3446	1723	8961.7	5.3156
223.22	2.3146	1.2361e+05	4462	2231	11947	5.2888
229.88	2.3314	1.3604e+05	4036	2018	11884	5.4938
214.98	2.2965	1.084e+05	4900	2450	10680	5.5132
206.89	2.285	1.0514e+05	3904	1952	9213.2	5.4253
234.13	2.3683	1.3002e+05	4526	2263	12944	5.4511
232.87	2.3801	1.3355e+05	4124	2062	12003	5.4457
228.47	2.3526	90993	3514	1757	8356.7	4.2611
200.09	2.2096	1.4265e+05	4486	2243	12413	4.3173
207.19	2.2331	1.0169e+05	3940	1970	10044	4.3797
203.43	2.2133	89669	3308	1654	7965.6	4.2444
210.62	2.2827	1.1139e+05	4404	2202	11157	4.0696
259.07	2.4818	1.03e+05	3648	1824	10314	4.1317
218.96	2.2965	1.2905e+05	4018	2009	10759	4.1112
207.14	2.3155	1.2214e+05	5044	2522	10967	4.114
222.5	2.289	1.0285e+05	3654	1827	10500	4.1559
205.27	2.304	1.183e+05	4364	2182	10467	3.9158
221.19	2.3303	1.0593e+05	4004	2002	9638.4	3.9029
205.18	2.2457	83637	3298	1649	7991.6	3.959
235.12	2.3744	1.5372e+05	4938	2469	13695	4.0361
220.15	2.3416	1.2721e+05	4076	2038	9862	3.9664
248.18	2.3985	83242	2602	1301	8444.5	3.9117
255.67	2.4135	1.2471e+05	3408	1704	10635	3.9479
236.6	2.3334	95051	3120	1560	8962	5.3432
201.22	2.2452	83588	3336	1668	7245.8	5.2597
220.94	2.3597	1.0251e+05	3916	1958	9338.1	5.2986
215.15	2.3266	80190	3306	1653	8042	5.2704
227.94	2.351	98530	3216	1608	9270.1	5.3672
205.95	2.2142	83946	3288	1644	8248.4	5.3048
223.05	2.3354	1.142e+05	3540	1770	11894	5.2204
223.66	2.2956	1.1702e+05	3806	1903	11971	5.2649
228.37	2.3161	1.1435e+05	4170	2085	12455	4.0421
167.57	2.0218	98606	4240	2120	10462	3.9201
210.46	2.2519	1.2035e+05	4174	2087	11315	3.9138
219.9	2.3051	1.3532e+05	5468	2734	14127	3.884
245.51	2.4222	99680	3220	1610	11043	3.9592
214.74	2.3302	74371	3330	1665	7607.8	3.9472
235.95	2.3621	1.1797e+05	4152	2076	12895	3.9214
229.26	2.297	1.2518e+05	4076	2038	11440	4.2654
218.98	2.3203	1.2874e+05	4762	2381	12331	3.9865
225.56	2.3564	1.1181e+05	4672	2336	11428	4.1776
239.18	2.3737	1.1281e+05	4088	2044	11974	4.2327
230.94	2.3579	1.1533e+05	4214	2107	10829	4.1831
230.55	2.3287	1.0837e+05	3380	1690	10513	4.1386
207.26	2.2743	91938	4068	2034	9361.9	4.1978
209.2	2.2639	1.5855e+05	5312	2656	13781	5.4276
211.61	2.2578	80508	2950	1475	8010	5.4004
