279.78	279.6
255.21	255.07
267.59	267.46
293.38	293.05
292.63	292.29
255.7	255.61
274.25	273.97
293.47	293.36
259.29	259.08
316.46	316.27
284.27	284.14
260.46	260.37
270.57	270.43
280.8	280.76
277.08	276.97
279.95	279.84
291.66	291.61
262.26	262.05
270.33	270.19
273.97	273.83
242.91	242.55
268.47	268.25
256.14	256.02
282.11	281.96
288.86	288.75
290.1	289.99
277.45	277.25
269	268.77
269.36	269.24
270.54	270.35
291.21	290.8
270.57	270.37
287.77	287.75
263.59	263.4
270.79	270.69
268.23	268.08
282.97	282.81
301.31	301.19
262.88	262.82
283.94	283.85
284.69	283.93
288.38	288.11
302	301.71
273.07	272.82
291.44	291.29
288.53	288.46
279.04	278.89
261.71	261.65
269.79	269.71
288.02	287.9
286.7	286.37
267.96	267.76
260.99	260.93
279.06	279.01
255.28	255.22
263.54	263.53
261.09	260.82
279.19	278.92
290.43	290.32
263.38	263.31
281.09	280.89
278.72	278.42
299.11	299.08
249.16	249.04
301.4	301.18
283.47	283.45
281.08	280.36
279.66	279.59
264.68	264.45
285.29	285.23
291.66	291.3
260.21	260.12
275.59	275.54
288.65	288.52
277.68	277.56
286.2	286.16
268.44	268.39
302.38	302.25
266.6	266.45
269.12	269.05
285.13	284.85
295.31	295.29
268.02	267.79
264.85	264.72
274.04	273.81
307.08	306.92
281.43	281.3
278.63	278.41
270.46	270.14
287.98	287.76
281.29	281.17
277.78	277.66
262.85	262.69
280.88	280.87
280.59	280.18
279.78	279.64
242.85	242.77
263.57	263.45
266.32	266.22
274.96	274.93
