1.2439	0.36936	0.01
1.2565	0.084167	0.01
1.5063	0.31055	0.010388
1.1587	0.48722	0.051349
1.084	-0.16852	0.01
1.1663	0.24008	0.01
1.2336	0.32129	0.030809
1.185	0.25393	0.031124
1.2198	0.043045	0.01
1.3393	0.039038	0.031046
1.3793	0.11048	0.026467
1.2673	0.34632	0.01
0.9626	0.16397	0.12492
1.3687	0.0065155	0.01
1.2486	0.25602	0.058035
1.2534	0.15168	0.010014
1.0835	-0.24845	0.079356
1.3778	0.24122	0.064116
1.0289	0.14699	0.045537
1.1892	-0.28676	0.019247
1.4337	-0.27734	0.011575
1.3231	0.14967	0.012618
1.223	-0.14199	0.1133
1.3469	-0.10848	0.075773
1.3136	0.44432	0.056876
1.0949	0.38771	0.01
1.1807	-0.11879	0.023073
1.1607	0.087277	0.11968
1.1882	0.23984	0.062689
1.1656	0.18225	0.017328
1.257	0.28921	0.031939
0.99186	-0.31088	0.033378
1.0536	0.078588	0.10944
1.1684	0.11553	0.016594
1.1206	-0.099457	0.038522
1.0334	0.40612	0.036543
1.3918	0.70348	0.015114
1.3577	0.44647	0.018848
1.5523	0.27222	0.021753
0.78042	0.18576	0.22487
1.0262	-0.45524	0.26355
1.2682	0.392	0.10484
1.2933	0.21513	0.016157
1.1673	0.14853	0.01
1.1765	0.2141	0.01
0.76514	0.064453	0.17533
1.1177	-0.13554	0.022806
1.3	0.16014	0.032982
1.1592	0.21965	0.10829
1.4375	0.2207	0.019427
1.3843	0.052496	0.029099
1.1206	0.30338	0.044991
1.0371	0.023684	0.13656
1.3539	-0.1446	0.01248
1.0557	0.084443	0.0428
1.0174	-0.11326	0.12604
1.4176	-0.41486	0.037508
1.185	0.21449	0.026493
0.96928	0.23799	0.15585
1.0618	0.1975	0.10378
0.87664	-0.19093	0.23958
1.435	0.22267	0.062145
1.3526	0.19243	0.046711
1.4065	0.45063	0.01
1.1016	-0.018443	0.039342
1.2847	0.017578	0.055734
1.0044	0.35989	0.046711
1.2463	0.13045	0.045228
1.2742	0.31218	0.019816
1.3159	0.078957	0.014116
1.1055	0.087181	0.088875
1.1306	0.0098605	0.079782
1.3917	0.36914	0.046728
1.0167	-0.18231	0.1398
1.2103	0.064841	0.058441
1.2617	-0.11487	0.010007
1.1439	0.31783	0.012549
1.2293	-0.38433	0.03146
0.97592	-0.072779	0.051326
1.2703	0.21011	0.01
1.3088	0.45278	0.063038
1.2618	-0.31445	0.018216
1.2519	0.66117	0.039403
1.203	0.21123	0.019289
1.2312	-0.23288	0.052994
1.2191	-0.07158	0.062366
1.3359	0.086365	0.01
1.2741	-0.38186	0.010009
1.3813	0.099349	0.01
1.2735	0.31949	0.032076
1.3153	0.035538	0.056423
1.0503	0.23845	0.10703
1.3108	0.41054	0.018342
1.3963	-0.053051	0.026523
1.1176	-0.11597	0.12689
0.8666	0.53527	0.16426
1.4342	0.068864	0.056701
1.3885	0.15357	0.024033
1.2984	-0.030384	0.027054
1.1168	0.36944	0.016314
