-2.3026,0.03
-2.2435,0.03
-2.1845,0.03
-2.1255,0.03
-2.0664,0.03
-2.0074,0.03
-1.9483,0.03
-1.8893,0.03
-1.8303,0.03
-1.7712,0.03
-1.7122,0.03
-1.6531,0.03
-1.5941,0.03
-1.5351,0.03
-1.476,0.03
-1.417,0.03
-1.3579,0.03
-1.2989,0.03
-1.2399,0.03
-1.1808,0.03
-1.1218,0.03
-1.0627,0.03
-1.0037,0.03
-0.94465,0.03
-0.88561,0.03
-0.82657,0.03
-0.76753,0.03
-0.70849,0.03
-0.64945,0.03
-0.59041,0.03
-0.53137,0.03
-0.47233,0.03
-0.41328,0.03
-0.35424,0.03
-0.2952,0.03
-0.23616,0.03
-0.17712,0.03
-0.11808,0.03
-0.059041,0.03
0,0.03
-1.204,0.01
-1.204,0.022564
-1.204,0.035128
-1.204,0.047692
-1.204,0.060256
-1.204,0.072821
-1.204,0.085385
-1.204,0.097949
-1.204,0.11051
-1.204,0.12308
-1.204,0.13564
-1.204,0.14821
-1.204,0.16077
-1.204,0.17333
-1.204,0.1859
-1.204,0.19846
-1.204,0.21103
-1.204,0.22359
-1.204,0.23615
-1.204,0.24872
-1.204,0.26128
-1.204,0.27385
-1.204,0.28641
-1.204,0.29897
-1.204,0.31154
-1.204,0.3241
-1.204,0.33667
-1.204,0.34923
-1.204,0.36179
-1.204,0.37436
-1.204,0.38692
-1.204,0.39949
-1.204,0.41205
-1.204,0.42462
-1.204,0.43718
-1.204,0.44974
-1.204,0.46231
-1.204,0.47487
-1.204,0.48744
-1.204,0.5
